retriever,distractor_type,pool_size,tasks,repeats,build_seconds,score_seconds_total,score_seconds_per_query,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,top1_error_rate,mean_fallback_distractors,mean_hard_negative_purity,n,top1_accuracy_std_across_queries,hit@3_std_across_queries,hit@5_std_across_queries,hit@10_std_across_queries,recall@3_std_across_queries,recall@5_std_across_queries,recall@10_std_across_queries,mrr@10_std_across_queries,ndcg@10_std_across_queries
hybrid_bm25_neural,random,1000,87,3,0.42043845799707924,0.2957377120073943,0.0033992840460620034,0.7969348659003831,0.9118773946360154,0.9501915708812261,0.9846743295019157,0.6666392993979201,0.7500912242291553,0.8310071154898742,0.8634722982424132,0.7782051494534935,0.2030651340996169,0,0.0,261,0.4022806053151475,0.2834731235723205,0.2175489588747646,0.12284459419066204,0.33684550012556286,0.29703224826151464,0.24981682684350293,0.28121052522980056,0.2577182525856428
hybrid_bm25_neural,random,full,87,1,0.42043845799707924,0.2957377120073943,0.0033992840460620034,0.45977011494252873,0.6206896551724138,0.6551724137931034,0.7241379310344828,0.3935960591133005,0.45777230432402843,0.5206349206349207,0.549055829228243,0.4629406583930467,0.5402298850574713,0,0.0,87,0.4983789284753747,0.48521542343000995,0.47531202593414557,0.44694763437295587,0.392120656183481,0.41241002825259265,0.40972768735645115,0.4415852447801947,0.37460476095785683
neural_minilm_desc,embedding_semantic_near,100,87,3,0.03464233299746411,0.2623607080022339,0.003015640321864757,0.5287356321839081,0.7011494252873564,0.7816091954022989,0.8160919540229885,0.46516146688560484,0.5608648056923919,0.6145046524356869,0.626309067688378,0.5431370910388992,0.47126436781609193,0,1.0,261,0.4991735804737578,0.45775420118942245,0.4131540403588834,0.3874091849736257,0.39494801360552656,0.38964940790711555,0.38311214405809846,0.41815482205514676,0.3574068843140542
neural_minilm_desc,query_overlap,100,87,3,0.03464233299746411,0.2623607080022339,0.003015640321864757,0.4482758620689655,0.6436781609195402,0.735632183908046,0.8505747126436781,0.4239737274220033,0.5259989053092501,0.6441160372194855,0.5716885604816639,0.5214518081708447,0.5517241379310345,2.045977011494253,0.9789567472757128,261,0.4973174173053778,0.47891187714941746,0.44099600214369833,0.35650718205220283,0.402534324482216,0.40516564724641246,0.365250579616003,0.40982708774184945,0.34385918989002895
neural_minilm_desc,random,1000,87,3,0.03464233299746411,0.2623607080022339,0.003015640321864757,0.7777777777777778,0.896551724137931,0.9540229885057471,0.9731800766283525,0.6730249954387886,0.7707535121328225,0.8546341908410874,0.8514413428206532,0.7911791226559405,0.2222222222222222,0,0.0,261,0.41573970964154905,0.3045434781492361,0.2094352546929724,0.16155684783377788,0.3432212023059989,0.28768405940290204,0.23939343443366848,0.2906788264828942,0.2553663745055612
neural_minilm_desc,random,full,87,1,0.03464233299746411,0.2623607080022339,0.003015640321864757,0.41379310344827586,0.5862068965517241,0.6666666666666666,0.7011494252873564,0.37252326217843457,0.4540503557744937,0.5060755336617405,0.5118910782703886,0.43802093725027197,0.5862068965517242,0,0.0,87,0.4925123054167483,0.4925123054167483,0.4714045207910317,0.45775420118942245,0.3955918656967026,0.4079002124691279,0.41489972658897656,0.4362016326261076,0.3718794014723378
tfidf_desc,embedding_semantic_near,100,87,3,0.3936219159986649,0.17605599799207994,0.002023632160828505,0.5057471264367817,0.6551724137931034,0.6666666666666666,0.7816091954022989,0.42339901477832514,0.4697591680350301,0.56247947454844,0.5944854953475643,0.4982706021599545,0.49425287356321834,0,1.0,261,0.4999669694467022,0.47531202593414557,0.4714045207910317,0.4131540403588834,0.38988053257878214,0.403717883881173,0.3888191182428371,0.4337501872628537,0.35983064488883987
tfidf_desc,query_overlap,100,87,3,0.3936219159986649,0.17605599799207994,0.002023632160828505,0.39080459770114945,0.5517241379310345,0.5977011494252874,0.6551724137931034,0.34244663382594415,0.39140667761357417,0.4451559934318555,0.4860153256704981,0.39587508272689703,0.6091954022988506,2.045977011494253,0.9789567472757128,261,0.4879306960181868,0.4973174173053778,0.4903615863839435,0.47531202593414557,0.3777479152673105,0.3934241245902532,0.3948596272038873,0.44073311706782575,0.3589087652620111
tfidf_desc,random,1000,87,3,0.3936219159986649,0.17605599799207994,0.002023632160828505,0.7318007662835249,0.8467432950191571,0.896551724137931,0.9501915708812261,0.6024356869184455,0.6755336617405583,0.7566776135741653,0.7999437450586876,0.7003419046387388,0.26819923371647514,0,0.0,261,0.44302190098275124,0.3602347670051543,0.3045434781492361,0.2175489588747646,0.3648463078387429,0.3389847933632358,0.30521544469114326,0.3427339572439075,0.3032165519703927
tfidf_desc,random,full,87,1,0.3936219159986649,0.17605599799207994,0.002023632160828505,0.3563218390804598,0.5287356321839081,0.5862068965517241,0.6551724137931034,0.3123700054734537,0.3684181718664477,0.4320197044334975,0.46115672322568874,0.37628962355108814,0.6436781609195402,0,0.0,87,0.47891187714941746,0.4991735804737578,0.4925123054167483,0.47531202593414557,0.3707581417750714,0.3894302376509653,0.39259553390373203,0.4323857599836553,0.3552257385721206
tfidf_full_skill,embedding_semantic_near,100,87,3,9.839844750000339,1.5243147930123087,0.01752085968979665,0.39080459770114945,0.4827586206896552,0.5747126436781609,0.735632183908046,0.3132183908045977,0.4126436781609195,0.527695675971538,0.4741789819376026,0.4359910622802755,0.6091954022988506,0,1.0,261,0.4879306960181868,0.49970264642032547,0.49438650960015096,0.44099600214369833,0.383471888428317,0.41457301979694633,0.40961832944913,0.43817834752038837,0.38123939693599623
tfidf_full_skill,query_overlap,100,87,3,9.839844750000339,1.5243147930123087,0.01752085968979665,0.28735632183908044,0.41379310344827586,0.5747126436781609,0.7471264367816092,0.26187739463601534,0.3808429118773946,0.536152162014231,0.40034209085933226,0.3905038534522771,0.7126436781609196,2.045977011494253,0.9789567472757128,261,0.4525291881615983,0.4925123054167483,0.49438650960015096,0.4346590896825066,0.36515631151458094,0.39910123113367485,0.4000240317694967,0.40270428691167864,0.3478607892073044
tfidf_full_skill,random,1000,87,3,9.839844750000339,1.5243147930123087,0.01752085968979665,0.6628352490421456,0.896551724137931,0.9310344827586207,0.9578544061302682,0.6369458128078818,0.7316548075168765,0.8058930852034301,0.7757282734294229,0.7207097340189084,0.33716475095785436,0,0.0,261,0.4727416648333235,0.3045434781492361,0.2533954906327426,0.20092123528163822,0.3380613540615832,0.3135890215925997,0.2747501389607871,0.33014111156687637,0.2843025384308582
tfidf_full_skill,random,full,87,1,9.839844750000339,1.5243147930123087,0.01752085968979665,0.2413793103448276,0.3448275862068966,0.39080459770114945,0.5172413793103449,0.23141762452107278,0.2710727969348659,0.3588122605363985,0.3141716839992702,0.2871224786724907,0.7586206896551724,0,0.0,87,0.42791978089623645,0.47531202593414557,0.4879306960181868,0.49970264642032547,0.3663741892312318,0.3855504745056587,0.41509542118347026,0.41013475021258067,0.3620047723109903
